<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
240525;000000;323.83;324.48;319.78;321;26553810
240528;000000;321.08;321.95;315.5;317.09;45678990
240529;000000;317.49;320.9;315.82;318.22;30148450
240530;000000;318.4;320.4;315.92;320.38;22961680
240531;000000;320.91;321.55;316;316.63;26931430
240601;000000;316.5;318.49;309.8;313.11;49135220
240604;000000;313.5;315.5;305;310.95;61756350
240605;000000;310.97;316.5;308.8;316.49;33007760
240606;000000;316.63;318.28;313.85;314.72;27769570
240607;000000;314.7;316.45;311.15;313.08;28304600
240608;000000;313.61;320.64;312.73;319.9;44451740
240611;000000;320.79;321.98;315.21;317.28;26271510
240612;000000;317.5;319.84;315.88;317.8;20045280
240614;000000;305.83;317.82;304.14;317.71;40596660
240615;000000;317.8;320.7;316.2;319.35;21471310
240618;000000;320;320.45;316.85;317.65;15421940
240619;000000;317.65;318;313.02;314.34;21995830
240620;000000;314.38;314.78;307.51;310.7;42166660
240621;000000;310.71;314.72;306.02;314.15;72766890
240622;000000;314.9;316;312.6;314.14;29078260
240625;000000;314.57;319;314.14;317.25;29541850
240626;000000;317.42;319.89;316.28;319.8;25961320
240627;000000;320.1;324.56;319.8;324.55;42419730
240628;000000;324.8;327.83;322.63;327.16;46744210
240629;000000;327.83;329.3;325.8;327.15;40401840
240702;000000;327.68;329;326.25;327.1;31651010
240703;000000;327.3;328.87;326.82;328.37;21147250
240704;000000;328.6;330.45;327;328.2;32149800
240705;000000;328.37;329.57;323.81;324.66;40717120
240706;000000;324.72;327;321.01;325;40395560
240709;000000;325.76;327.44;323.74;324.07;27707420
240710;000000;324.32;325.33;317.5;319.99;54117710
240711;000000;319.01;320.3;314.3;316.68;88434130
240712;000000;289.96;296.98;285.22;295.87;163673770
240713;000000;296.01;297.48;290.97;292.21;49886960
240716;000000;292.93;293.86;283.5;284.38;58676410
240717;000000;284.49;285.69;276.7;285.25;82828490
240718;000000;285.84;289.96;283.23;284.68;42767400
240719;000000;284.69;289.99;282.73;289.83;34064140
240720;000000;290.67;292.58;289.2;289.9;30979970
240723;000000;291;294.95;291;294.71;33311040
240724;000000;295.45;295.48;293.36;294.39;22093540
240725;000000;294.38;296.67;293.2;295.69;24544600
240726;000000;295.7;297.3;294.2;296.37;22844710
240727;000000;296.4;300;292.67;293.3;84884940
240730;000000;292.94;292.94;286;286.58;52219730
240731;000000;286.5;291.99;284.32;290;42534130
240801;000000;290.46;291.2;288.01;289.3;25920100
240802;000000;289.75;290.69;287.04;287.21;18623090
240803;000000;287.21;287.99;284.37;286.04;30076980
240806;000000;282.79;283.46;275.17;275.49;81937270
240807;000000;277.02;281.16;276.35;279.4;43202810
240808;000000;280.01;283.27;277.21;282.2;48382920
240809;000000;283.25;285.42;280;281.09;42244110
240810;000000;280.98;282.67;279.62;281.44;22241490
240813;000000;280.17;281.5;278.03;280.74;27637540
240814;000000;281.05;284.33;280.42;283.92;24020180
240815;000000;284.2;284.7;280.12;280.32;21714850
240816;000000;280.62;280.85;276.73;278.01;28609160
240817;000000;278.06;279;274.32;274.6;26162430
240820;000000;275.08;275.56;265.02;268.17;68554390
240821;000000;268.35;269.49;263.36;266.2;54188810
240822;000000;266.16;267.8;263.86;266.93;37082330
240823;000000;266.93;268.5;260.15;261.6;47832270
240824;000000;261.7;262.8;255.56;259.5;76692590
240827;000000;263.55;266.95;261.54;265.39;49740810
240828;000000;265.82;266.07;259.82;260.5;32322390
240829;000000;259.9;262.47;254.99;262.47;47819940
240830;000000;262.59;264.19;258.36;260.31;34789950
240831;000000;260.55;261.8;254;254.45;46093930
240903;000000;254.03;254.2;242.65;244.31;97567000
240904;000000;244.39;250;240.01;244.04;105623660
240905;000000;244.51;253.5;242.8;253.01;70628230
240906;000000;255;258.17;251.11;252.82;78275280
240907;000000;253.04;255.35;250.31;254.77;41321430
240910;000000;256;263.45;255.3;263.31;66034220
240911;000000;264.6;264.61;258.7;261.29;57661380
240912;000000;260.8;262;257.5;258.2;38187230
240913;000000;257.79;258.68;252.85;254.93;46294910
240914;000000;255.18;259.92;248.75;258.25;111072970
240917;000000;259.65;264.37;257.8;263.79;52514890
240918;000000;264.12;267;260.55;265.99;57482960
240919;000000;265.73;267.99;263.15;263.4;43207650
240920;000000;263.93;266.19;262.32;264.5;35624340
240921;000000;264.55;269.21;264.5;269.08;38731230
240924;000000;269.32;273.8;269.3;273.17;49321720
240925;000000;273.83;273.94;270.5;272.92;36940480
240926;000000;272.93;273.8;267.3;267.8;43747450
240927;000000;267.6;269.76;265.41;267.88;31838840
240928;000000;268.5;269.7;267.17;268.07;18850980
241001;000000;269.25;272.33;268.14;268.49;42404640
241002;000000;267.64;268.68;264;266.29;51992710
241003;000000;266.28;268;258.52;259.31;46490120
241004;000000;259.31;264.49;257.2;264.25;56487900
241005;000000;264.95;265.44;262.11;264.09;25906840
241008;000000;264.25;267;261.37;263.39;28903960
241009;000000;263.19;263.8;261.89;262.4;16119810
241010;000000;262.55;263.8;259.59;260.86;24955850
241011;000000;260.89;261.64;258.91;259.98;17641350
241012;000000;259.81;260.07;256.8;256.94;24807370
241015;000000;256.47;263.91;254.1;261.28;64068170
241016;000000;260.94;263.7;259.84;262.03;26188700
241017;000000;262.06;264.72;258.45;259.5;40177540
241018;000000;259.5;260.45;256.03;256.57;24610370
241019;000000;256.5;258.9;254.41;256.49;29016770
